"","Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","filename","date","site","species","sppcode","FCnt","DCnt","Fo","Fm","Fo.","Fm.","Fs","Fv.Fm","Fv..Fm.","PhiPS2","Adark","RedAbs","BlueAbs","X.Blue","LeafAbs","PhiCO2","qP","qN","NPQ","ParIn.Fs","PS2.1","ETR","EBal?","Fo'","Fm'","Fv/Fm","Fv'/Fm'","%Blue","ParIn@Fs","PS2/1","fda","Trans","Tair_K","Twall_K","R(W/m2)","Tl-Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci/Ca","RHsfc","C2sfc","AHs/Cs","Fv","PARabs","Fv'","qP_Fo","qN_Fo"
"11...1",1,"14:39:54",885.5,0,5.38,0.0575,232,0.967,1.73,25.17,6,1.42,1,2.84,24.4,25.17,24.01,399.87,392.95,13.269,14.413,44.58,48.42,499.8,1499,1,103.1,-0.495,0.0806,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14...2",2,"14:41:27",978.5,0,4.09,0.0598,177,0.982,1.69,25.03,6,1.42,1,2.84,24.26,25.03,24.04,299.91,294.66,13.362,14.524,45.27,49.21,499.7,1500,1,103.1,0.194,0.0788,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17...3",3,"14:42:57",1068.5,0,2.3,0.0631,133,1.03,1.67,25.01,6,1.42,1,2.84,24.43,25.01,24.55,199.85,196.84,13.438,14.651,45.07,49.14,499.7,1500,1,103.1,0.676,0.0853,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20...4",4,"14:44:41",1172.5,0,0.751,0.0676,78.5,1.07,1.63,24.83,6,1.42,1,2.84,23.87,24.83,23.37,99.97,98.94,13.449,14.713,46.66,51.04,499.7,1499,1,103.1,1.12,0.0925,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23...5",5,"14:46:07",1258.5,0,-0.693,0.0692,65.5,1.09,1.63,24.84,6,1.42,1,2.84,24.12,24.84,23.96,49.86,50.62,13.493,14.782,46.1,50.5,499.7,1499,1,103.1,1.52,0.096,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26...6",6,"14:48:29",1400.5,0,6.02,0.0726,248,1.14,1.62,24.89,6,1.42,1,2.84,24.22,24.89,24.04,399.98,392.22,13.54,14.89,45.98,50.56,499.7,1499,1,103.1,-0.678,0.0792,0,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29...7",7,"14:49:51",1482.5,0,6.24,0.0752,248,1.15,1.58,24.66,6,1.42,1,2.84,24.24,24.66,24.27,399.96,391.93,13.58,14.937,46.07,50.67,499.7,1500,1,103.1,-0.536,0.0672,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32...8",8,"14:51:31",1582.5,0,9.15,0.073,371,1.16,1.64,25.01,6,1.42,1,2.84,24.41,25.01,24.26,599.98,588.18,13.589,14.96,45.62,50.23,499.8,1499,2,103.1,-2.76,0.0806,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35...9",9,"14:53:53",1724.5,0,10,0.0703,537,1.11,1.64,24.98,6,1.42,1,2.84,24.21,24.98,23.97,799.6,786.55,13.631,14.949,46.32,50.8,499.7,1499,3,103.1,-5.09,0.096,0,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38...10",10,"14:56:03",1855.5,0,10.4,0.0656,706,1.03,1.61,24.84,6,1.42,1,2.84,23.99,24.84,23.68,1000.16,986.46,13.709,14.922,47.19,51.37,499.7,1499,2,103.1,-8.01,0.109,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41...11",11,"14:58:25",1997.5,0,10.9,0.0571,1140,0.911,1.64,24.94,6,1.42,1,2.84,24.25,24.94,23.98,1499.82,1485.06,13.763,14.84,46.64,50.29,499.7,1499,1,103.1,-16.5,0.0795,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67...12",12,"15:08:04",2575.5,0,4.99,0.0532,233,0.83,1.6,24.82,6,1.42,1,2.84,24.69,24.82,24.7,400,393.62,14.019,15,46.28,49.53,499.7,800,1,103,-0.256,0.089,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70...13",13,"15:11:08",2759.5,0,5.6,0.0591,231,0.904,1.57,24.73,6,1.42,1,2.84,24.35,24.73,24.3,400.08,392.93,14.049,15.118,47.32,50.92,499.7,1001,1,103,-0.291,0.0817,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73...14",14,"15:14:07",2939.5,0,5.97,0.0666,238,1,1.55,24.74,6,1.42,1,2.84,24.15,24.74,24.11,399.96,392.33,14.146,15.331,48.23,52.27,499.7,1300,1,103,-0.389,0.061,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76...15",15,"15:16:51",3102.5,0,5.08,0.0613,250,0.929,1.56,24.79,6,1.42,1,2.84,25.03,24.79,25.33,399.95,393.41,14.256,15.354,46.1,49.65,499.7,500,1,103,-0.717,0.0851,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79...16",16,"15:20:04",3295,0,3.79,0.0506,265,0.795,1.61,25,6,1.42,1,2.84,25.19,25,25.32,400.01,395.08,14.3,15.24,45.8,48.82,499.7,301,1,103,-0.454,0.102,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82...17",17,"15:22:26",3438,0,3.27,0.0422,262,0.668,1.62,24.98,6,1.42,1,2.84,25.19,24.98,25.32,399.93,395.68,14.347,15.137,45.96,48.49,499.7,201,1,103,-1.17,0.0918,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85...18",18,"15:25:23",3614,0,1.77,0.0341,305,0.538,1.61,24.9,6,1.42,1,2.84,25.05,24.9,25.08,399.94,397.56,14.462,15.098,46.71,48.76,499.7,100,1,103,-0.504,0.103,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88...19",19,"15:27:44",3754,0,1.54,0.0285,302,0.451,1.61,24.88,6,1.42,1,2.84,25.21,24.88,25.4,400.16,398.09,14.475,15.009,46.33,48.03,499.7,50,1,103,-1.24,0.1,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91...20",20,"15:31:25",3975,0,0.234,0.0213,372,0.34,1.62,24.88,6,1.42,1,2.84,25.09,24.88,25.26,400,399.56,14.549,14.951,46.88,48.18,499.7,19,1,103,-1.16,0.101,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94...21",21,"15:34:37",4167,0,-0.892,0.0173,473,0.277,1.62,24.92,6,1.42,1,2.84,25.09,24.92,25.32,399.97,400.91,14.664,14.992,47.25,48.3,499.7,1,1,103,-0.396,0.0982,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102...22",22,"15:43:09",4679,0,3.65,0.0323,206,0.495,1.56,24.82,6,1.42,1,2.84,24.57,24.82,24.5,399.99,395.38,14.835,15.42,49.31,51.25,499.7,801,1,103,-0.332,0.0765,0,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10...23",1,"12:16:13",910,0,16.1,0.338,286,4.68,1.56,24.97,6,1.42,1,2.84,23.98,24.97,22.39,399.93,378.49,10.116,15.647,34.87,53.94,499.7,1500,215,103.1,-0.314,0.0508,0,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13...24",2,"12:17:56",1013,0,11.7,0.357,220,4.78,1.52,24.93,6,1.42,1,2.84,23.96,24.93,22.79,300.03,284.31,10.334,15.984,35.66,55.15,499.7,1500,227,103.1,0.748,0.0619,1,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16...25",3,"12:20:02",1138,0,7.02,0.369,153,4.94,1.52,25.17,6,1.42,1,2.84,23.62,25.17,21.97,199.98,190.43,10.557,16.392,37.19,57.74,499.7,1499,159,103.1,1.33,0.0533,1,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19...26",4,"12:21:26",1222,0,1.99,0.398,86.2,5.05,1.46,24.97,6,1.42,1,2.84,23.62,24.97,22.18,100.2,97.21,10.688,16.65,37.65,58.65,499.7,1500,237,103.1,1.3,0.0647,1,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22...27",5,"12:23:02",1318,0,-0.303,0.411,50.4,5.14,1.44,25.03,6,1.42,1,2.84,23.9,25.03,22.27,50.17,50.23,10.843,16.913,37.56,58.58,499.7,1500,234,103.1,1.09,0.0871,1,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25...28",6,"12:25:24",1460,0,16.2,0.42,302,5.02,1.38,24.75,6,1.42,1,2.84,23.76,24.75,22.63,400.24,378.5,11.057,16.983,38.62,59.32,499.7,1499,238,103.1,0.527,0.0638,0,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28...29",7,"12:27:46",1602,0,17,0.44,300,5.16,1.36,24.87,6,1.42,1,2.84,24.02,24.87,22.71,399.96,377.2,11.294,17.383,38.84,59.77,499.7,1500,236,103.1,0.0732,0.0546,0,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31...30",8,"12:30:08",1744,0,21.7,0.438,470,5.13,1.36,24.96,6,1.42,1,2.84,24.11,24.96,22.79,600.17,570.65,11.535,17.583,39.44,60.13,499.7,1500,217,103.1,-1.1,0.0768,0,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34...31",9,"12:32:22",1878,0,24.6,0.421,645,4.93,1.35,24.93,6,1.42,1,2.84,23.91,24.93,22.51,799.96,765.86,11.783,17.594,40.78,60.89,499.7,1499,133,103.1,-3.29,0.0326,1,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37...32",10,"12:34:43",2019,0,25.1,0.401,834,4.63,1.32,24.91,6,1.42,1,2.84,24.18,24.91,23.19,999.86,964.34,12.379,17.838,42.17,60.76,499.7,1501,108,103.1,-5.42,0.0804,1,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40...33",11,"12:42:23",2479,0,24.8,0.295,1290,3.65,1.37,24.9,6,1.42,1,2.84,23.96,24.9,22.33,1499.2,1462.97,13.029,17.335,44.95,59.81,499.7,1499,51,103.1,-14.1,0.0732,0,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51...34",12,"13:00:28",3565,0,24.9,0.297,805,3.13,1.17,24.78,6,1.42,1,2.84,23.71,24.78,22.61,1000.1,966.62,15.427,19.109,54.02,66.92,499.7,1500,104,103.1,-6.26,0.0569,0,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55...35",13,"13:05:11",3847,0,25.2,0.273,1280,2.86,1.15,24.74,6,1.42,1,2.84,23.84,24.74,22.62,1499.81,1464.58,15.807,19.17,54.95,66.64,499.7,1500,74,103.1,-15.7,0.0345,0,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59...36",14,"13:09:33",4108.5,0,-1.28,0.147,1480,1.77,1.28,24.98,6,1.42,1,2.84,24.79,24.98,24.21,1500.2,1498.54,16.295,18.387,53.51,60.38,499.7,2,100,103.1,-16.1,0.0738,0,-0.22,2.74,1,0,0.16,111115,"20200526_plla_ptsj",2020-05-26,"F27","Plantago lanceolata","pllan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101...37",1,"10:39:44",259.5,0,4.21,0.0551,260,0.994,1.85,24.49,6,1.42,1,2.84,25.35,24.49,26.36,399.72,394.19,10.757,11.936,34.14,37.88,499.8,1500,0,103,-1.26,0.0676,0,-0.22,2.74,1,0,0.16,111115,"20200527_hulu_ptsj",2020-05-27,"F27","Humulus lupulus","hulup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131...38",2,"10:42:07",402,0,2.46,0.0592,221,1.09,1.9,24.86,6,1.42,1,2.84,26.05,24.86,27.39,300.09,296.74,10.892,12.186,33.15,37.09,499.8,1500,0,103,0.147,0.065,0,-0.22,2.74,1,0,0.16,111115,"20200527_hulu_ptsj",2020-05-27,"F27","Humulus lupulus","hulup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161...39",3,"10:43:39",494.5,0,1.92,0.0624,142,1.15,1.91,25,6,1.42,1,2.84,26.17,25,27.36,199.94,197.37,10.984,12.353,33.21,37.35,499.8,1500,0,103,0.342,0.0506,1,-0.22,2.74,1,0,0.16,111115,"20200527_hulu_ptsj",2020-05-27,"F27","Humulus lupulus","hulup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
