"","ID","X","region","species.x","Vcmax.x","Jmax.x","Rd.x","Vcmax_SE","Jmax_SE","Rd_SE","ID.1","sppcode.x","Date","invader","homeaway","woody","grass","family","nativerange","filename","date","site","species.y","sppcode.y","Vcmax.y","Jmax.y","Rd.y","Vcmax.se","Jmax.se","Rd.se"
"1","acneg-E10-1",1,"E","Acer negundo",50.8206956055668,75.3641104423682,0.454863321380031,1.39499941900537,NA,0.17953206692737,"acneg-E10-1","acneg","2019-07-09","invader","home",1,0,"Sapindaceae","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","acneg-E11-1",2,"E","Acer negundo",43.1927389620169,35.1701324191641,-5.33985534770783,46.9141723478326,NA,4.14438819692335,"acneg-E11-1","acneg","2019-07-15","invader","home",1,0,"Sapindaceae","E","190715__s11_acneg_.xlsx","7/15/19","E11","Acer negundo","acneg",107.510698941204,143.209951247872,0.452278310215383,14.5680759978586,23.9026454910967,0.465028662080134
"3","acneg-E17-1",3,"E","Acer negundo",87.160726562366,104.978438403785,0.974083611128939,2.2574242655552,NA,0.189242561220461,"acneg-E17-1","acneg","2020-06-18","invader","home",1,0,"Sapindaceae","E","200618_acneg_.xlsx","6/18/20","E17","Acer negundo","acneg",55.7462463723112,119.470690487587,0.965159723546482,7.81617180476113,29.4339324514166,0.625279394201672
"4","acneg-E19-1",4,"E","Acer negundo",112.639987785682,101.030029333961,1.67028887380257,11.4323947790941,NA,0.728593554800868,"acneg-E19-1","acneg","2020-07-07","invader","home",1,0,"Sapindaceae","E","200707_acneg2_.xlsx","7/7/20","E19","Acer negundo","acneg",51.8994485692081,97.7092470846416,0.810357296820281,9.76926163414319,23.5599414282589,0.631652374835865
"5","acneg-E20-1",5,"E","Acer negundo",76.0009512520419,99.0858947339928,0.349289846248701,2.20444018673738,NA,0.293563976485951,"acneg-E20-1","acneg","2020-07-22","invader","home",1,0,"Sapindaceae","E","200722_s20_acneg_.xlsx","7/22/20","E20","Acer negundo","acneg",60.2240537584958,106.184691971532,0.657513568710389,18.17472447296,30.9068082326675,0.582189210135562
"6","acneg-E4-1",6,"E","Acer negundo",53.9262267927296,78.4163293832337,0.687076170467545,2.66039570725841,NA,0.304655674881426,"acneg-E4-1","acneg","2020-06-23","invader","home",1,0,"Sapindaceae","E","200623_acneg_.xlsx","6/23/20","E4","Acer negundo","acneg",35.6452660348264,110.796924738408,0.873927183020241,6.83522949936151,33.4279206215525,0.596542024915523
"7","acneg-E5-1",7,"E","Acer negundo",94.8915851187281,99.3329965463278,1.48747412093467,18.6447519992424,NA,1.64086599976501,"acneg-E5-1","acneg","2019-06-26","invader","home",1,0,"Sapindaceae","E","190626-s5-acne_.xlsx","6/26/19","E5","Acer negundo","acneg",67.7231891988796,113.124862277132,0.62023513317333,15.8774932671615,29.861471124379,0.565780053297071
"8","acneg-E5-2",8,"E","Acer negundo",92.3420382747096,129.148643620729,1.61035363659839,2.4264407294074,NA,0.272957301247406,"acneg-E5-2","acneg","2020-07-02","invader","home",1,0,"Sapindaceae","E","200702_acneg_.xlsx","7/2/20","E5","Acer negundo","acneg",62.667848002552,107.736442413172,0.649378950169258,17.0775596702106,31.2755506192648,0.588760210632795
"9","acneg-E7-1",9,"E","Acer negundo",62.176578431929,60.3121225295804,-0.0262849672645047,18.4695901119018,NA,2.00118903365532,"acneg-E7-1","acneg","2019-06-27","invader","home",1,0,"Sapindaceae","E","190627_s7_acneg_.xlsx","6/27/19","E7","Acer negundo","acneg",61.635811984539,106.483722738319,0.641058747416161,17.8552629076518,33.580252609631,0.587468934935424
"10","acneg-E7-2",10,"E","Acer negundo",89.5431706661035,108.080493190335,0.513817560802069,7.90676704850495,NA,0.330476493825699,"acneg-E7-2","acneg","2020-08-06","invader","home",1,0,"Sapindaceae","E","200806_acneg_s7_.xlsx","8/6/20","E7","Acer negundo","acneg",66.3335779507303,114.199545260598,0.62706140275874,16.9021675734328,27.4415084985557,0.569011843760736
