"","Obs","Time","Photo","Cond","Ci","Trmmol","VpdL","Area","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","Status","filename","date","site","species","sppcode","ID"
"124","12","1639",5.09,"0.191","342","1.63","0.881","6","1","2.84","30.79","30","30.79","399.23","392.52","31.833","33.686","71.53","75.78","500.4","200","41","100.2","-0.965","0.22","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"134","13","1997.5",4.15,"0.174","348","1.46","0.86","6","1","2.84","30.91","29.99","30.98","399.36","393.7","32.24","33.931","71.95","75.72","500.8","101","43","100.2","-0.982","0.214","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"144","14","2001.3",4.23,"0.174","347","1.46","0.858","6","1","2.84","30.91","29.99","30.99","399.37","393.6","32.242","33.933","71.95","75.73","500.3","101","41","100.2","-0.982","0.214","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"154","15","2162.5",2.74,"0.169","363","1.42","0.859","6","1","2.84","31.06","30.08","31.18","399.47","395.5","32.502","34.149","71.94","75.58","500.8","50","41","100.2","-0.986","0.238","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"164","16","2165.5",2.74,"0.169","363","1.43","0.862","6","1","2.84","31.05","30.09","31.17","399.38","395.42","32.504","34.156","71.94","75.6","500.6","50","37","100.2","-0.986","0.238","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"174","17","2448.3",1.16,"0.153","379","1.24","0.825","6","1","2.84","30.96","30.1","30.99","398.78","396.8","33.101","34.541","73.65","76.85","500.7","20","39","100.2","-1.04","0.251","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"184","18","2451.3",1.16,"0.153","379","1.24","0.825","6","1","2.84","30.96","30.1","30.99","398.9","396.76","33.104","34.544","73.65","76.85","500.8","19","40","100.2","-1.04","0.251","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"194","19","2615",-0.289,"0.147","397","1.17","0.809","6","1","2.84","30.78","30.1","30.59","399.06","398.84","33.361","34.72","75.01","78.06","500.7","1","52","100.2","-1.08","0.261","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"204","20","2617.3",-0.289,"0.147","397","1.17","0.809","6","1","2.84","30.78","30.09","30.59","399","398.71","33.36","34.714","75.01","78.06","500.7","1","42","100.2","-1.08","0.261","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"222","21","3379.5",6.58,"0.151","314","1.02","0.689","6","1","2.84","29.02","30.02","28.24","399.19","390.82","34.523","35.707","85.89","88.83","500.5","1300","272","100.2","2.16","0.949","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"232","22","3383.3",6.58,"0.151","314","1.02","0.689","6","1","2.84","29.02","30.03","28.25","399.3","390.87","34.529","35.708","85.89","88.83","500.7","1299","266","100.2","2.16","0.949","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"244","23","3730",4.15,"0.222","256","2.88","1.35","6","1","2.84","29.43","30.11","28.83","300.02","294.03","26.019","29.365","63.21","71.34","500.6","1298","225","100.2","-1.04","0.211","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"254","24","3734.5",4.25,"0.224","255","2.89","1.34","6","1","2.84","29.43","30.11","28.84","300.12","294","26.02","29.378","63.22","71.37","500.6","1300","224","100.2","-1.04","0.211","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"264","25","3960",2.62,"0.229","172","2.94","1.34","6","1","2.84","29.34","30.09","28.63","199.09","195.26","25.96","29.382","63.4","71.76","500.5","1300","905","100.2","-1.64","0.201","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"274","26","3962.3",2.65,"0.229","171","2.95","1.34","6","1","2.84","29.34","30.1","28.64","199.09","195.23","25.955","29.385","63.37","71.74","500.7","1301","921","100.2","-1.64","0.201","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"284","27","4170.3",0.8,"0.234","91.3","2.99","1.33","6","1","2.84","29.23","30.04","28.45","100.52","99.21","25.845","29.319","63.52","72.05","500.5","1300","647","100.2","-2.08","0.202","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"294","28","4178.5",0.797,"0.234","91.2","2.99","1.33","6","1","2.84","29.23","30.04","28.45","100.43","99.12","25.842","29.32","63.51","72.06","500.6","1300","585","100.2","-2.08","0.202","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"304","29","4421.5",0.0184,"0.237","48.3","3.03","1.34","6","1","2.84","29.13","30.02","28.25","49.73","49.52","25.71","29.234","63.56","72.27","500.8","1301","217","100.2","-2.49","0.143","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"317","30","4421.5",0.0184,"0.237","48.3","3.03","1.34","6","1","2.84","29.13","30.02","28.25","49.73","49.52","25.71","29.234","63.56","72.27","500.8","1301","217","100.2","-2.49","0.143","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"324","31","4716.3",5.81,"0.242","343","3.11","1.35","6","1","2.84","29.26","30.05","28.45","401.07","392.63","25.608","29.229","62.82","71.7","500.6","1300","405","100.1","-0.786","0.191","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"334","32","4719.3",5.85,"0.242","343","3.12","1.35","6","1","2.84","29.26","30.06","28.45","401","392.53","25.604","29.229","62.82","71.71","500.6","1300","387","100.2","-0.786","0.191","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"344","33","4736.5",5.74,"0.243","344","3.12","1.35","6","1","2.84","29.27","30.07","28.44","400.92","392.57","25.602","29.236","62.77","71.68","500.6","1300","380","100.2","-0.786","0.191","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"354","34","4741",5.77,"0.242","344","3.12","1.35","6","1","2.84","29.27","30.09","28.45","401.02","392.63","25.599","29.235","62.77","71.69","500.6","1299","370","100.2","-0.786","0.191","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"364","35","5204.3",7.8,"0.202","511","2.67","1.37","6","1","2.84","28.9","29.99","27.86","600.41","589.18","25.76","28.869","64.53","72.32","500.8","1301","316","100.1","0.189","0.209","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"374","36","5208",7.8,"0.202","511","2.67","1.37","6","1","2.84","28.89","29.98","27.86","600.36","589.11","25.757","28.857","64.53","72.32","500.6","1301","319","100.1","0.189","0.209","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"384","37","5473.5",8.23,"0.157","683","2.18","1.42","6","1","2.84","28.94","30.01","28.05","799.62","787.69","25.833","28.377","64.56","70.92","500.6","1300","53","100.1","1.42","0.199","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"394","38","5475.8",8.41,"0.157","680","2.18","1.42","6","1","2.84","28.94","30.01","28.05","799.64","787.5","25.831","28.375","64.56","70.92","500.6","1300","53","100.1","1.42","0.199","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"404","39","5968.3",8.31,"0.0982","828","1.46","1.48","6","1","2.84","28.76","29.91","27.86","1000.86","989.18","25.823","27.522","65.18","69.47","500.7","1300","46","100.1","2.83","0.177","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"415","40","5978.8",8.23,"0.097","827","1.44","1.49","6","1","2.84","28.76","29.92","27.86","1000.88","989.31","25.825","27.506","65.21","69.46","500.6","1300","47","100.1","2.83","0.177","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"424","41","6217.5",8.6,"0.0795","1280","1.22","1.53","6","1","2.84","28.75","29.95","27.86","1500.58","1488.09","25.718","27.146","64.94","68.55","500.5","1300","39","100.1","6.57","0.17","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"434","42","6222",8.62,"0.0789","1270","1.22","1.53","6","1","2.84","28.75","29.96","27.86","1501.12","1488.62","25.723","27.143","64.96","68.54","500.5","1300","41","100.1","6.57","0.17","111115","20200810_WN.xlsx","2020-08-10","J1","Viburnum dilatatum","vidil","vidil-J1-1"
"118","43","8220",7.02,"0.37","347","4.19","1.23","5.18","1","2.84","28.5","30.23","26.6","398.97","388.61","26.202","31.069","66.71","79.1","500.8","1298","44","99.47","-1.87","0.461","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"217","44","8227.5",7.16,"0.34","344","3.96","1.25","5.18","1","2.84","28.5","30.22","26.62","399.14","388.71","26.211","30.814","66.71","78.42","500.7","1298","42","99.45","-1.87","0.461","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"318","45","8322.8",6.96,"0.316","343","3.67","1.24","5.18","1","2.84","28.67","30.08","26.88","399.15","389.09","26.31","30.579","66.31","77.07","500.7","1001","55","99.46","-1.99","0.418","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"416","46","8325.8",6.96,"0.316","343","3.67","1.24","5.18","1","2.84","28.67","30.08","26.88","399.02","389.04","26.308","30.579","66.31","77.07","500.8","1000","39","99.46","-1.99","0.418","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"55","47","8424.3",6.77,"0.324","345","3.61","1.19","5.18","1","2.84","28.66","29.9","26.89","398.97","389.17","26.441","30.631","66.71","77.28","500.7","800","28","99.46","-2.14","0.43","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"65","48","8428.8",6.9,"0.324","345","3.6","1.19","5.18","1","2.84","28.66","29.89","26.88","399.08","389.13","26.446","30.631","66.72","77.28","500.8","800","29","99.46","-2.14","0.43","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"75","49","8516.3",6.18,"0.319","349","3.47","1.16","5.18","1","2.84","29.13","29.79","27.84","399.32","390.29","26.609","30.643","65.32","75.23","500.7","502","29","99.46","-1.85","0.436","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"85","50","8520.8",6.16,"0.318","349","3.47","1.16","5.18","1","2.84","29.13","29.79","27.84","399.28","390.28","26.607","30.633","65.3","75.18","500.7","500","29","99.46","-1.85","0.436","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"95","51","8708.3",5.68,"0.29","349","3.29","1.2","5.18","1","2.84","29.52","29.97","27.93","399.26","390.9","26.865","30.693","64.47","73.65","500.6","301","30","99.46","-2.45","0.371","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"105","52","8712.8",5.71,"0.288","349","3.29","1.21","5.18","1","2.84","29.52","29.99","28","399.38","390.99","26.871","30.697","64.48","73.67","500.7","301","31","99.46","-2.45","0.371","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"119","53","8834.5",5.04,"0.274","353","3.16","1.21","5.18","1","2.84","29.64","30.01","28.26","399.45","391.93","26.992","30.661","64.31","73.06","500.5","200","31","99.46","-2.36","0.38","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"125","54","8838.3",5.04,"0.274","353","3.16","1.21","5.18","1","2.84","29.64","30.02","28.25","399.57","391.89","26.994","30.884","64.31","73.06","500.7","199","31","99.46","-2.36","0.38","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"135","55","9003.3",3.94,"0.283","362","3.19","1.19","5.18","1","2.84","29.69","30.03","28.24","399.41","393.18","27.264","30.967","64.8","73.6","500.7","100","149","99.45","-2.45","0.396","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"145","56","9006.3",3.94,"0.283","362","3.19","1.19","5.18","1","2.84","29.69","30.03","28.24","399.55","393.42","27.283","30.986","64.8","73.6","500.9","100","144","99.45","-2.45","0.396","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"155","57","9137.8",2.35,"0.28","373","3.09","1.16","5.18","1","2.84","29.65","29.95","28.24","399.47","395.18","27.442","31.03","65.37","73.92","500.7","50","51","99.45","-2.38","0.405","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"165","58","9143.8",2.33,"0.278","373","3.07","1.16","5.18","1","2.84","29.65","29.94","28.25","399.41","395.17","27.445","31.009","65.37","73.86","500.8","50","48","99.45","-2.38","0.405","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"175","59","9284",1.12,"0.273","382","3.03","1.17","5.18","1","2.84","29.84","29.96","28.64","399.54","396.76","27.49","31.009","64.76","73.05","500.8","21","52","99.46","-2.48","0.385","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"185","60","9290.8",1.07,"0.274","382","3.03","1.16","5.18","1","2.84","29.84","29.93","28.63","399.45","396.72","27.487","31.003","64.75","73.03","500.7","20","50","99.45","-2.48","0.385","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"195","61","9489.5",-0.239,"0.272","392","2.99","1.16","5.18","1","2.84","29.83","29.91","28.64","399.58","398.44","27.52","30.995","64.88","73.07","500.7","0","72","99.45","-2.41","0.463","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"205","62","9494",-0.258,"0.257","393","2.88","1.17","5.18","1","2.84","29.83","29.92","28.64","399.68","398.62","27.525","30.868","64.87","72.75","500.7","0","80","99.45","-2.41","0.463","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"223","63","10096.8",7.16,"0.315","343","3.4","1.15","5.18","1","2.84","28.55","30.27","26.66","399.91","389.74","28.03","31.975","71.15","81.16","500.6","1301","66","99.44","-1.73","0.535","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"233","64","10102",7.01,"0.312","343","3.39","1.15","5.18","1","2.84","28.54","30.3","26.64","399.77","389.78","28.035","31.972","71.19","81.19","500.7","1301","56","99.44","-1.73","0.535","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"245","65","10274.3",5.22,"0.32","259","3.47","1.15","5.18","1","2.84","28.57","30.39","26.69","299.91","292.44","28.181","32.203","71.43","81.63","500.6","1300","386","99.43","-1.99","0.579","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"255","66","10275.8",5.21,"0.32","259","3.47","1.15","5.18","1","2.84","28.58","30.38","26.69","299.93","292.47","28.183","32.205","71.4","81.6","500.7","1300","380","99.43","-1.99","0.579","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"265","67","10488.3",3.14,"0.326","176","3.47","1.13","5.18","1","2.84","28.6","30.39","26.71","200.56","195.98","28.398","32.418","71.85","82.02","500.6","1300","98","99.43","-2.17","0.634","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"275","68","10497.3",3.05,"0.328","176","3.47","1.13","5.18","1","2.84","28.6","30.37","26.69","200.54","196.07","28.409","32.428","71.9","82.07","500.6","1299","107","99.43","-2.17","0.634","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"285","69","10699",1.02,"0.328","90.2","3.41","1.11","5.18","1","2.84","28.57","30.35","26.68","99","97.38","28.608","32.565","72.52","82.55","500.6","1300","31","99.42","-2.59","0.671","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"295","70","10705.8",1.01,"0.327","90.1","3.4","1.11","5.18","1","2.84","28.57","30.35","26.67","98.93","97.32","28.615","32.561","72.54","82.55","500.7","1300","32","99.42","-2.59","0.671","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"305","71","10961.3",-0.0859,"0.332","49.6","3.43","1.1","5.18","1","2.84","28.7","30.5","26.82","50.18","50.08","29.022","33","72.99","82.99","500.7","1301","201","99.42","-2.67","0.712","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"319","72","10964.3",-0.0562,"0.334","49.5","3.44","1.1","5.18","1","2.84","28.7","30.49","26.82","50.24","50.1","29.03","33.013","73.03","83.05","500.7","1300","176","99.41","-2.67","0.712","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"325","73","11326.5",6.91,"0.34","347","3.75","1.18","5.18","1","2.84","28.68","30.41","26.8","400.4","390.37","27.648","31.998","69.63","80.58","500.8","1301","32","99.42","-1.55","0.604","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"335","74","11336.3",7,"0.339","347","3.75","1.18","5.18","1","2.84","28.68","30.42","26.8","400.44","390.3","27.66","32.008","69.64","80.59","500.7","1301","30","99.42","-1.55","0.604","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"345","75","11345.3",6.97,"0.34","347","3.76","1.18","5.18","1","2.84","28.69","30.43","26.82","400.47","390.37","27.676","32.031","69.66","80.62","500.9","1300","29","99.42","-1.55","0.604","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"355","76","11351.3",6.93,"0.338","347","3.74","1.19","5.18","1","2.84","28.69","30.45","26.81","400.35","390.29","27.678","32.024","69.65","80.59","500.4","1301","36","99.42","-1.55","0.604","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"365","77","11518.5",9.91,"0.345","524","3.87","1.2","5.18","1","2.84","28.94","30.66","27.06","600.28","585.69","27.956","32.44","69.34","80.46","500.7","1300","214","99.42","-0.874","0.622","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"375","78","11523.8",9.99,"0.343","523","3.87","1.21","5.18","1","2.84","28.94","30.69","27.07","600.38","585.69","27.961","32.449","69.34","80.47","500.6","1300","225","99.42","-0.874","0.622","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"385","79","11719.5",11.3,"0.344","710","3.77","1.17","5.18","1","2.84","28.9","30.6","27","799.87","782.77","28.174","32.547","70.04","80.92","500.6","1299","159","99.42","0.0943","0.636","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"395","80","11724.8",11.2,"0.342","710","3.76","1.18","5.18","1","2.84","28.9","30.62","27.01","799.85","782.86","28.179","32.544","70.05","80.89","500.6","1301","145","99.41","0.0943","0.636","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"405","81","11926.5",11.3,"0.342","905","3.71","1.16","5.18","1","2.84","28.87","30.59","27","999.48","981.61","28.317","32.622","70.54","81.26","500.7","1300","35","99.42","1.36","0.657","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"417","82","11934.8",11.2,"0.34","906","3.71","1.17","5.18","1","2.84","28.88","30.6","27","999.37","981.64","28.326","32.627","70.52","81.23","500.6","1300","40","99.41","1.36","0.657","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"425","83","12172.5",11.4,"0.334","1390","3.57","1.14","5.18","1","2.84","28.84","30.56","26.96","1500.69","1480.67","28.629","32.766","71.44","81.76","500.7","1300","206","99.41","4.7","0.68","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"435","84","12177.8",11.6,"0.338","1390","3.59","1.14","5.18","1","2.84","28.84","30.55","26.96","1501.07","1480.79","28.637","32.801","71.46","81.86","500.8","1300","315","99.41","4.7","0.68","111115","20200811_TO.xlsx","2020-08-11","J2","Euonymus alatus","euala","euala-J2-1"
"120","1","52.3",9.26,"0.257","316","3.6","1.47","6","1","2.84","28.71","29.93","27.47","399.05","386.29","23.718","27.909","59.71","70.25","500.7","1300","156","99.56","-0.755","0.14","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"218","2","56.8",9.35,"0.258","315","3.6","1.46","6","1","2.84","28.71","29.92","27.54","399.02","386.14","23.722","27.915","59.73","70.28","500.5","1299","147","99.56","-0.755","0.14","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"320","3","206.5",9.4,"0.243","311","3.47","1.49","6","1","2.84","29.35","30","28.45","399.22","386.34","23.766","27.814","57.65","67.47","500.6","1001","83","99.56","-0.755","0.115","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"418","4","213.3",9.14,"0.245","314","3.48","1.48","6","1","2.84","29.32","29.97","28.16","398.9","386.33","23.759","27.816","57.74","67.6","500.7","1001","87","99.55","-0.755","0.115","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"56","5","371.5",9.28,"0.232","310","3.34","1.5","6","1","2.84","29.54","30","28.64","399.34","386.67","23.889","27.781","57.31","66.64","500.5","801","40","99.56","-0.782","0.123","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"66","6","375.3",9.24,"0.232","310","3.33","1.49","6","1","2.84","29.55","30","28.64","399.31","386.68","23.896","27.781","57.31","66.63","500.4","801","40","99.56","-0.782","0.123","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"76","7","543.8",8.83,"0.219","310","3.19","1.51","6","1","2.84","30.08","30.02","29.42","399.87","387.82","23.991","27.702","55.79","64.42","500.7","501","42","99.56","-0.814","0.136","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"86","8","546.8",8.81,"0.218","310","3.18","1.51","6","1","2.84","30.09","30.04","29.43","399.86","387.82","23.99","27.698","55.77","64.39","500.5","500","44","99.56","-0.814","0.136","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"96","9","723.8",8,"0.202","313","3.01","1.53","6","1","2.84","30.41","30.08","29.81","400.3","389.3","24.087","27.601","54.98","63","500.4","300","40","99.56","-0.821","0.117","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"106","10","726.8",8,"0.202","313","3.01","1.53","6","1","2.84","30.41","30.08","29.8","400.27","389.26","24.085","27.608","54.98","63","500.6","299","42","99.56","-0.821","0.117","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"1110","11","845.5",7.05,"0.19","319","2.83","1.52","6","1","2.84","30.31","29.99","29.61","400.53","390.75","24.181","27.476","55.53","63.09","500.7","201","41","99.56","-0.973","0.121","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"126","12","850",7.08,"0.19","319","2.82","1.52","6","1","2.84","30.3","29.99","29.61","400.66","390.85","24.184","27.473","55.56","63.11","500.7","200","41","99.56","-0.973","0.121","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"136","13","999.5",4.77,"0.17","337","2.6","1.55","6","1","2.84","30.53","30.05","30.01","400.85","393.9","24.299","27.326","55.08","61.94","500.7","99","44","99.57","-0.853","0.135","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"146","14","1002.5",4.77,"0.17","337","2.6","1.55","6","1","2.84","30.54","30.06","30.01","400.94","394.09","24.307","27.344","55.08","61.94","500.8","99","44","99.56","-0.853","0.135","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"156","15","1202",2.44,"0.146","360","2.27","1.56","6","1","2.84","30.27","30.07","29.42","401.1","397.1","24.617","27.26","56.63","62.71","500.8","50","43","99.56","-1","0.137","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"166","16","1206.5",2.52,"0.146","358","2.26","1.56","6","1","2.84","30.27","30.06","29.41","401.09","396.99","24.626","27.259","56.68","62.74","500.7","50","43","99.57","-1","0.137","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"176","17","1466.8",0.703,"0.107","378","1.62","1.51","6","1","2.84","30.2","30.03","29.43","399.77","398.15","25.817","27.706","59.64","64.01","500.9","20","43","99.56","-1.16","0.121","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"186","18","1471.3",0.753,"0.103","376","1.57","1.51","6","1","2.84","30.2","30.03","29.42","399.78","398.13","25.823","27.651","59.66","63.88","500.7","19","44","99.56","-1.16","0.121","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"196","19","1624.5",-0.687,"0.0851","403","1.32","1.54","6","1","2.84","30.3","30.08","29.61","399.67","399.86","26.028","27.568","59.8","63.34","500.7","1","45","99.57","-1.21","0.186","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"206","20","1629.8",-0.625,"0.0838","402","1.3","1.54","6","1","2.84","30.3","30.09","29.61","399.7","399.82","26.037","27.557","59.8","63.3","500.7","0","46","99.57","-1.21","0.186","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"224","21","3043.3",9.38,"0.204","303","2.75","1.39","6","1","2.84","28.4","30.06","26.88","401.13","388.61","25.771","28.976","66.06","74.28","500.7","1301","46","99.56","-1.58","0.27","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"234","22","3049.3",9.31,"0.204","303","2.76","1.39","6","1","2.84","28.4","30.05","26.88","401.09","388.65","25.767","28.976","66.03","74.25","500.5","1301","46","99.56","-1.58","0.27","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
"246","23","3342.8",6.29,"0.216","236","2.87","1.38","6","1","2.84","28.46","29.98","27.08","300","291.46","25.572","28.917","65.33","73.87","500.7","1299","47","99.57","-1.94","0.278","111115","20200811_WO.xlsx","2020-08-11","J2","Viburnum dilatatum","vidil","vidil-J2-1"
